Row	File	Type	Key
3	/dati/tmpl/mobile15/disclaimer.tmpl	DIZ	WEBAPP_GOLD_HEADER_META_TITLE
34	/dati/tmpl/mobile15/disclaimer.tmpl	DIZ	WEBAPP_SEXFACTOR_TEXT1
35	/dati/tmpl/mobile15/disclaimer.tmpl	DIZ	WEBAPP_SEXFACTOR_TEXT2
38	/dati/tmpl/mobile15/disclaimer.tmpl	DIZ	WEBAPP_SEXFACTOR_LINK_YES
40	/dati/tmpl/mobile15/disclaimer.tmpl	DIZ	WEBAPP_SEXFACTOR_LINK_NO
32	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_GOLD_TOP_HELP
48	/dati/tmpl/mobile15/error.tmpl	DIZ	ERROR_DEFAULT_TITLE
51	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_GOLD_GO_HOME
52	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_URL_EMAIL
62	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_GOLD_FOOTER_TERMS
64	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_GOLD_FOOTER_HELP
68	/dati/tmpl/mobile15/error.tmpl	DIZ	WEBAPP_GOLD_FOOTER_STATUS
5	/dati/tmpl/mobile15/forgot.tmpl	DIZ	LOSTPASSWORD_TITLE
11	/dati/tmpl/mobile15/forgot.tmpl	DIZ	WEBAPP_LOGIN_INVALID_NUMBER
13	/dati/tmpl/mobile15/forgot.tmpl	DIZ	FORGOT_BUTTON_WEBAPP
5	/dati/tmpl/mobile15/index.tmpl	DIZ	SEO_WEBAPP_HEAD_TITLE_INDEX
11	/dati/tmpl/mobile15/index.tmpl	DIZ	SEO_WEBAPP_META_DESCRIPTION_PAGE_INDEX
12	/dati/tmpl/mobile15/index.tmpl	DIZ	SEO_WEBAPP_META_KEYWORDS_PAGE_INDEX
48	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_HEADER_TEXT
52	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_MAIN_CONTENT_TEXT1
55	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_MAIN_CONTENT_TEXT2
61	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_LASTNEWS
64	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_TEXT
76	/dati/tmpl/mobile15/qr_page.tmpl	DIZ	WEBAPP_QRPAGE_COPYRIGHT
